"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Biswas S.K.; Chatterjee S.; Laha S.; Pakira V.; Som N.K.; Saha S.; Chakraborty S.","Biswas, Sujay K. (55138996400); Chatterjee, Subhamoy (57680703500); Laha, Sampad (57220365560); Pakira, Victor (57218768384); Som, Nirmal K. (57219822023); Saha, Satadal (57992450300); Chakraborty, Suman (56643797300)","55138996400; 57680703500; 57220365560; 57218768384; 57219822023; 57992450300; 56643797300","Instrument-free single-step direct estimation of the plasma glucose level from one drop of blood using smartphone-interfaced analytics on a paper strip","2022","Lab on a Chip","22","23","","4666","4679","13","1","10.1039/d2lc00824f","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142221666&doi=10.1039%2fd2lc00824f&partnerID=40&md5=0943d6bc7ec9f04ca93fc29acf8dcb96","We demonstrated an instrument-free miniaturized adaptation of the laboratory gold standard methodology for the direct estimation of plasma glucose from a drop of whole blood using a low-cost single-user-step paper-strip sensor interfaced with a smartphone. Unlike a majority of the existing glucose meters that use whole blood-based indirect sensing technologies, our direct adaptation of the gold-standard laboratory benchmark could eliminate the possibilities of cross interference with other analytes present in the whole blood by facilitating an in situ plasma separation, capillary flow and colorimetric reaction occurring concomitantly, without incurring additional device complexity or embodiment. The test reagents were dispensed in lyophilized form, and the resulting paper strips were found to be stable over three months stored in a normal freezer, rendering easy adaptability commensurate with the constrained supply chains in extreme resource-poor settings. Quantitative results could be arrived at via a completely-automated mobile-app-based image analytics interface developed using dynamic machine learning, obviating manual interpretation. The tests were demonstrated to be of high efficacy, even when executed by minimally trained frontline personnel having no special skill of drawing precise volume of blood, on deployment at under-resourced community centres having no in-built or accessible healthcare infrastructure. Clinical validation using 220 numbers of human blood samples in a double-blinded manner evidenced sensitivity and specificity of 98.11% and 96.7%, respectively, as compared to the results obtained from a laboratory-benchmarked biochemistry analyser, establishing its efficacy for public health and community disease management in resource-limited settings without any quality compromise of the test outcome. © 2022 The Royal Society of Chemistry.","","Blood Glucose; Colorimetry; Glucose; Humans; Mobile Applications; Smartphone; Blood; Drops; Glucose; mHealth; Supply chains; glucose; reagent; glucose; Gold standards; Indirect sensing; Low-costs; Plasma glucose; Plasma glucose level; Single users; Single-step; Smart phones; Strip sensors; Whole blood; Article; benchmarking; blood sampling; capillary blood; capillary flow; colorimetry; controlled study; cost; freeze drying; frontline staff; glucose blood level; gold standard; hematocrit; human; limit of detection; machine learning; quantitative analysis; sensitivity and specificity; standardization; validation process; venous blood; glucose blood level; mobile application; smartphone; Smartphones","Article","Final","","Scopus","2-s2.0-85142221666"
"Gupta K.; Roy S.; Poonia R.C.; Kumar R.; Nayak S.R.; Altameem A.; Saudagar A.K.J.","Gupta, Kamaldeep (57658665100); Roy, Sharmistha (55568060300); Poonia, Ramesh Chandra (56638603100); Kumar, Raghvendra (57198684981); Nayak, Soumya Ranjan (57188876957); Altameem, Ayman (55331466600); Saudagar, Abdul Khader Jilani (56166431300)","57658665100; 55568060300; 56638603100; 57198684981; 57188876957; 55331466600; 56166431300","Multi-Criteria Usability Evaluation of mHealth Applications on Type 2 Diabetes Mellitus Using Two Hybrid MCDM Models: CODAS-FAHP and MOORA-FAHP","2022","Applied Sciences (Switzerland)","12","9","4156","","","","4","10.3390/app12094156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129311119&doi=10.3390%2fapp12094156&partnerID=40&md5=1b0282689918c9156d7a85df6669d18c","People use mHealth applications to help manage and keep track of their health conditions more effectively. With the increase of mHealth applications, it has become more difficult to choose the best applications that are user-friendly and provide user satisfaction. The best techniques for any decision-making challenge are multi-criteria decision-making (MCDM) methodologies. However, traditional MCDM methods cannot provide accurate results in complex situations. Currently, researchers are focusing on the use of hybrid MCDM methods to provide accurate decisions for complex problems. Thus, the authors in this paper proposed two hybrid MCDM methods, CODAS-FAHP and MOORA-FAHP, to assess the usability of the five most familiar mHealth applications that focus on type 2 diabetes mellitus (T2DM), based on ten criteria. The fuzzy Analytic Hierarchy Process (FAHP) is applied for efficient weight estimation by removing the vagueness and ambiguity of expert judgment. The CODAS and MOORA MCDM methods are used to rank the mHealth applications, depending on the usability parameter, and to select the best application. The resulting analysis shows that the ranking from both hybrid models is sufficiently consistent. To assess the proposed framework’s stability and validity, a sensitivity analysis was performed. It showed that the result is consistent with the proposed hybrid model. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","CODAS; FAHP; MOORA; T2DM mHealth applications; usability; usability score","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85129311119"
"Thapa S.B.; Rajput A.; Gandhi A.; Raman R.","Thapa, Surya Bahadur (57917254700); Rajput, Aditi (58397462000); Gandhi, Aradhana (56205598600); Raman, Ramakrishnan (55808097300)","57917254700; 58397462000; 56205598600; 55808097300","Mobile Health Applications towards Sustainable Healthcare: A Healthcare Professionals'Perspective","2023","2023 International Conference on Advancement in Computation and Computer Technologies, InCACCT 2023","","","","726","731","5","0","10.1109/InCACCT57535.2023.10141765","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163338376&doi=10.1109%2fInCACCT57535.2023.10141765&partnerID=40&md5=54696c34f9b6b7fe351031d970605286","The objective of the study is to explore and examine the contextual factors towards the long-Term sustainability of mobile health applications, as well as determine the elements influencing the effective implementation of mHealth technology from the perspective of healthcare providers. The basic idea of this paper is to include multi-disciplinary commentaries of healthcare professionals to evaluate the sustainability aspects of mHealth applications. The study is based on qualitative semi-structured interviews with healthcare experts and employs a Grounded Theory approach to explore and assess the efficacy and long-Term sustainability of mHealth applications. A total of 12 healthcare practitioners were interviewed for the study. They were healthcare professionals, including medical practitioners and clinical consultants, as well as health researchers, academicians, specialists, and suppliers of healthcare apps. The findings depict that mHealth technology is widely beneficial in practices for healthcare management in the public health domain. To achieve sustainability of mHealth and realise its potential in public health governance, this assessment points out an integrated approach covering healthcare practitioners' concerns and contextual considerations for effective implementation, sustainability, and scale-up of mHealth interventions. © 2023 IEEE.","healthcare applications; intervention; mHealth app; sustainability; telemedicine","Public health; Sustainable development; Telemedicine; Contextual factors; Grounded theory approach; Health care application; Health care professionals; Health care providers; Intervention; Long-term sustainability; Mhealth app; Mobile health application; Semi structured interviews; mHealth","Conference paper","Final","","Scopus","2-s2.0-85163338376"
"Gupta K.; Roy S.; Altameem A.; Kumar R.; Saudagar A.K.J.; Poonia R.C.","Gupta, Kamaldeep (57658665100); Roy, Sharmistha (55568060300); Altameem, Ayman (55331466600); Kumar, Raghvendra (57198684981); Saudagar, Abdul Khader Jilani (56166431300); Poonia, Ramesh Chandra (56638603100)","57658665100; 55568060300; 55331466600; 57198684981; 56166431300; 56638603100","Usability Evaluation and Classification of mHealth Applications for Type 2 Diabetes Mellitus Using MARS and ID3 Algorithm","2022","International Journal of Environmental Research and Public Health","19","12","6999","","","","2","10.3390/ijerph19126999","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131308171&doi=10.3390%2fijerph19126999&partnerID=40&md5=c482239597f07e6f08fce966ca779ea5","The rapid growth of mHealth applications for Type 2 Diabetes Mellitus (T2DM) patients’ self-management has motivated the evaluation of these applications from both the usability and user point of view. The objective of this study was to identify mHealth applications that focus on T2DM from the Android store and rate them from the usability perspective using the MARS tool. Additionally, a classification of these mHealth applications was conducted using the ID3 algorithm to identify the most preferred application. The usability of the applications was assessed by two experts using MARS. A total of 11 mHealth applications were identified from the initial search, which fulfilled our inclusion criteria. The usability of the applications was rated using the MARS scale, from 1 (inadequate) to 5 (excellent). The Functionality (3.23) and Aesthetics (3.22) attributes had the highest score, whereas Information (3.1) had the lowest score. Among the 11 applications, “mySugr” had the highest average MARS score for both Application Quality (4.1/5) as well as Application Subjective Quality (4.5/5). Moreover, from the classification conducted using the ID3 algorithm, it was observed that 6 out of 11 mHealth applications were preferred for the self-management of T2DM. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","decision making; ID3; MARS; mHealth applications; T2DM; usability","Algorithms; Diabetes Mellitus, Type 2; Humans; Inhibitor of Differentiation Proteins; Mobile Applications; Neoplasm Proteins; Self-Management; Telemedicine; ID3 protein, human; inhibitor of differentiation protein; tumor protein; algorithm; classification; decision making; diabetes; health care; management; mobile phone; algorithm; Article; decision making; decision tree; human; non insulin dependent diabetes mellitus; quality control; self care; usability testing; mobile application; non insulin dependent diabetes mellitus; self care; telemedicine","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85131308171"
"Madhushree J.; Kumari K.A.; Kamatchi T.P.","Madhushree, J. (58236834400); Kumari, K. Anitha (49361105600); Kamatchi, T.P. (57226458996)","58236834400; 49361105600; 57226458996","Analysis of Key Policy-Attribute Based Encryption Scheme","2023","Proceedings of the 2023 International Conference on Intelligent Systems for Communication, IoT and Security, ICISCoIS 2023","","","","580","584","4","0","10.1109/ICISCoIS56541.2023.10100504","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158150214&doi=10.1109%2fICISCoIS56541.2023.10100504&partnerID=40&md5=6a8bb7cd6b7a5751907248d1ccd3d32d","Attribute-based encryption (ABE) is a Iproposed new cryptographic fundamental that might be used to solve the issues of secure and acceptable intelligence sharing and decentralised access control. Key-policy attribute-based encryption (KP-ABE), a popular kind of ABE, tags cipher texts with a set of characteristics and connects secret keys to access structures that limit which cipher texts a user can decrypt, Data sharing on unstable cloud storage has a broad range of applications for KP-ABE. The cipher text size, on the other hand, expands exponentially in relation to the number of characteristics in the cypher text in most recognized KP-ABE systems. A novel context-aware Cyber- Physical System that integrates embedded sensors, Internet of Things technologies, and cloud computing is thought to benefit the healthcare industry (CPS). As a result of the intellectualization of mobile terminal devices, mobile healthcare networks are automatically generated. These networks can offer basic health care services as well as real-time communication. However, the CPS has two challenges that need to be solved. The first challenge can be overcome by lowering a mobile terminal's processing and storage expenses. The second challenge can be addressed by providing healthcare data with cyber-physical privacy and security. Data privacy and secure sharing in an open environment can be guaranteed by key-policy attribute-based encryption (KP-ABE). Encryption, authentication, and authorization techniques are used to keep data safe. Some of the more complex applications and cryptographic approaches that the KP-ABE system can be used in include event log encryption, selective broadcast encryption, operational encryption, and software obfuscation. An access tree can be used during the key creation process to create fine-grained access control, and users' attribute sets can also be permitted to overlap. This work provides a detailed analysis of the Key Policy Attribute Based Encryption Scheme, allowing the investigator to concentrate on the flaws suchas collusion attacks and make improvements. © 2023 IEEE.","CP-ABE; EHR; EMR; KP-ABE","Application programs; Authentication; Character recognition; Cloud storage; Computer terminals; Cyber Physical System; Cybersecurity; Data obfuscation; mHealth; Mobile telecommunication systems; Network security; Attribute-based encryption schemes; Attribute-based encryptions; Ciphertexts; CP-attribute-based encryption; CryptoGraphics; EHR; EMR; Key policies; Key-policy attribute-based encryption; Embedded systems","Conference paper","Final","","Scopus","2-s2.0-85158150214"
"Chander B.; Gopalakrishnan K.","Chander, Bhanu (57204421934); Gopalakrishnan, Kumaravelan (35107489900)","57204421934; 35107489900","A secured and lightweight RFID-tag based authentication protocol with privacy-preserving in Telecare medicine information system","2022","Computer Communications","191","","","425","437","12","7","10.1016/j.comcom.2022.05.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131125888&doi=10.1016%2fj.comcom.2022.05.002&partnerID=40&md5=3503105757b8bd4e02fd37279a01c1b4","As a result of remarkable and continuous progress in Micro-Electro-Mechanical technologies, improved user-friendliness of low cast telecommunications like IoTs, mobile networks virtualization and intelligent technologies, we have novel healthcare delivery services with non-connection identification electronic components such as Radio Frequency Identification (RFID). RFID is extensively utilized in medical-oriented services like patient monitoring, object traceability, drug administration system, and Telecare medicine information system (TMIS), which receives special attention from healthcare management. TMIS works as a suspension bridge among patients staying at home, and doctors at healthcare organizations are authorized to validate the preciseness of exchanged data records among dissimilar organization participants. In recent times, TMIS adopted for patient data confidentiality, privacy protection, authentication, security, and safety over public channels. Researchers proposed a wide range of authentication protocols for RFID and TMIS by exploiting different cryptographic primitive solutions. However, most of them have large complex operations, scarce storage, and are not efficient. Whatever the security of TMIS improves, its application becomes wider. This paper designed an efficient and improved authentication protocol with high security for TMIS. The proposed protocol performance analysis in both Scyther and AVISPA tools shows that the protocol achieves high security and is well-suited for TMIS. © 2022 Elsevier B.V.","Authentication; E-healthcare environment; Hash function; Privacy; Random number; RFID tags; Security analysis; TMIS","Authentication; Digital storage; Hash functions; Hospital data processing; Information management; Medical information systems; mHealth; Patient monitoring; Privacy-preserving techniques; Radio frequency identification (RFID); Authentication protocols; E-healthcare; E-healthcare environment; Healthcare environments; Privacy; Radiofrequency identification tags; Random Numbers; Security analysis; Telecare; Telecare medicine information system; Information use","Article","Final","","Scopus","2-s2.0-85131125888"
"Sharma S.; Soni S.; Kaushik S.; Kalaivani M.; Dadhwal V.; Aparna Sharma K.; Sharma D.","Sharma, Sahil (55060045900); Soni, Snigdha (57927483300); Kaushik, Shalini (57215036271); Kalaivani, Mani (12797030700); Dadhwal, Vatsla (35463428700); Aparna Sharma, K. (57195331727); Sharma, Deepak (57218964194)","55060045900; 57927483300; 57215036271; 12797030700; 35463428700; 57195331727; 57218964194","SwasthGarbh: A Smartphone App for Improving the Quality of Antenatal Care and Ameliorating Maternal-Fetal Health","2023","IEEE Journal of Biomedical and Health Informatics","27","6","","2729","2738","9","1","10.1109/JBHI.2022.3211426","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139825340&doi=10.1109%2fJBHI.2022.3211426&partnerID=40&md5=741a2d1bed8dc30ca90f05f610885126","The utility of telemedicine in healthcare has been brought to the forefront by the COVID-19 pandemic. 'SwasthGarbh' (Healthy Pregnancy) is a multi-functional, interactive smartphone application for providing antenatal care and real-time medical support to all pregnant women (especially those in rural areas and/or do not have easy access to doctors). A randomized controlled trial (n = 150) demonstrates its utility in improving the quality of antenatal care, reducing obstetric/medical complications and achieving a positive pregnancy experience. The test group (patients registered on the App) showed a significantly higher number of mean (± SD) antenatal visits (7.0 ± 1.5 vs. 5.7 ± 1.8; P < 0.001) as well as better compliance with the WHO visit protocol (87.2% vs. 69.8%, P < 0.001) and antenatal investigations (73.2% vs. 41.7%, P<0.001) in comparison to the control group (followed-up conventionally), respectively. Furthermore, substantial reduction in medical (38.0% vs. 55.5%, P = 0.04) and obstetric (52.1% vs. 59.7%, P = 0.36) complications during pregnancy as well as significant improvement in mean (± SD) maternal systolic BP (118.9 ± 11.8 vs. 123.4 ± 14.2 mmHg; P = 0.046), diastolic BP (76.0 ± 8.4 vs. 80.0 ± 10.9 mmHg; P = 0.02) and hemoglobin (11.5 ± 1.4 vs. 10.9 ± 1.4 g/dL; P = 0.03) parameters at delivery was observed in the test group compared to the controls, respectively. All the above mentioned positive clinical outcomes were the result of the provision of high quality antenatal care, timely detection of complications, prompt medical assistance and improved medication adherence. This is first pregnancy App that provides instantaneous access to doctor's advice and is clinically endorsed as well as credible. © 2013 IEEE.","Antenatal care (ANC); digital health; mobile app; pregnancy; SwasthGarbh; telemedicine","COVID-19; Female; Humans; Mobile Applications; Pandemics; Pregnancy; Prenatal Care; Smartphone; Bioinformatics; Compliance control; mHealth; Obstetrics; Quality control; Smartphones; hemoglobin; Antenatal care; Digital health; Medical services; Mobile app; Multi-functional; Pandemic; Pregnancy; Smartphone apps; Swasthgarbh; adult; Article; clinical evaluation; controlled study; demographics; female; fetal health; follow up; human; major clinical study; maternal welfare; obstetric delivery; patient satisfaction; pregnancy; PreMaPEQ questionnaire; prenatal care; prospective study; questionnaire; randomized controlled trial; sociodemographics; telemedicine; coronavirus disease 2019; pandemic; prenatal care; procedures; Telemedicine","Article","Final","","Scopus","2-s2.0-85139825340"
"Green G.; Koch H.; Kulaba P.; Garner S.L.; George C.E.; Hitchcock J.; Norman G.","Green, Gina (36784998400); Koch, Hope (8726907100); Kulaba, Peter (57244051300); Garner, Shelby L. (55808808600); George, Carolin Elizabeth (56537730400); Hitchcock, Julia (57207450503); Norman, Gift (7102607765)","36784998400; 8726907100; 57244051300; 55808808600; 56537730400; 57207450503; 7102607765","Implementing an mHealth app to combat hypertension in India's vulnerable populations","2022","Information Technology and People","35","4","","1466","1492","26","0","10.1108/ITP-02-2020-0080","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114149448&doi=10.1108%2fITP-02-2020-0080&partnerID=40&md5=663a362f5c9c24f06e49a6c42d71c2cf","Purpose: The purpose of this paper is to understand how to build and implement information and communication technology (i.e. ICT) to help vulnerable people when significant social, cultural and economic barriers exist between the stakeholders. Design/methodology/approach: The authors followed an action research approach to design and implement a mobile health hypertension education application to help India's most vulnerable populations. The authors used interpretive analysis, guided by the sustainable livelihoods framework, to uncover key findings. Findings: Successfully implementing information and communication technology for development (ICT4D) requires understanding that all stakeholders (i.e. donors, facilitators and the beneficiaries) have important assets to contribute. Facilitators play an important role in connecting donors to the beneficiaries and fostering cultural humility in donors so that the donors will understand the role beneficiaries play in success. Stakeholders may use the ICT4D in unintended ways that both improve the people's health and increase some beneficiaries' financial livelihood. Research limitations/implications: This research expands the definition of information systems success when implementing ICT4D in resource-constrained environments. Success is more than creating an mHealth app that was easy for beneficiaries to use and where they learned based on a pre- and post-test statistical analysis. Success involved development in all the stakeholders impacted by the social innovation collaboration. For the beneficiary community, success included getting screened for noncommunicable diseases as a first step toward treatment. For the facilitator, success involved more resources for their community health program. Amongst the donors, success was a change in perspective and learning cultural humility. Practical implications: Although universities encourage faculty to work in interdisciplinary research teams to address serious world problems, university researchers may have to exert considerable effort to secure contracts, approvals and payments. Unfortunately, universities may not reward this effort to build ICT4D and continue to evaluate faculty based on journal publications. When universities undertake social innovation collaborations, administrators should ensure responsive and flexible university processes as well as appropriate academic reward structures are in place. This need is heightened when collaborations involve international partners with limited resources and time needed to build relationships and understanding across cultures. Social implications: This study discovered the importance of fostering cultural humility as a way of avoiding potential conflicts that may arise from cultural and power differences. Cultural humility moves the focus of donor-beneficiary relationships away from getting comfortable with “them” to taking actions that develop relationships and address vulnerabilities (Fisher-Borne et al., 2015). This research shows how the facilitator helped the donor develop cultural humility by involving the donor in various initiatives with the beneficiary community including allowing the donor to live in a dormitory at the hospital, work in an urban slum and visit health screening campus. Originality/value: This study (1) extends the ICT4D literature by incorporating cultural humility into the sustainable livelihoods framework, (2) provides a contextual understanding of developing cultural humility in ICT4D projects with a complex group of stakeholders and (3) describes how facilitators become a catalyst for change and a bridge to the community. The culturally humble approach suggests revising the livelihood framework to eliminate words like “the poor” to describe beneficiaries. © 2021, Emerald Publishing Limited.","Action research; Cultural humility; Ethics; Grant; ICT4D; Livelihoods framework; Multidisciplinary; Social innovation collaboration; Transdisciplinary","","Article","Final","","Scopus","2-s2.0-85114149448"
"George R.; Swathi S.; Thomas R.R.; Sowmya A.C.; Thomas M.R.","George, Riya (58338562300); Swathi, S. (58335911400); Thomas, Reshma Rose (58339218200); Sowmya, A.C. (58337899000); Thomas, Mary Rani (57210553300)","58338562300; 58335911400; 58339218200; 58337899000; 57210553300","Aiming at digital health via mHealth application for generation Y post-pandemic scenario","2023","Integrating Digital Health Strategies for Effective Administration","","","","76","94","18","0","10.4018/978-1-6684-8337-4.ch005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162681392&doi=10.4018%2f978-1-6684-8337-4.ch005&partnerID=40&md5=d6dc923913eb5d86c9c9bd275e9b3372","Medical and health products have become a part of our lives. A health-conscious .society is the aftermath of the pandemic. The increasing role of technology has pushed people to online alternatives for medical services, progressing towards digital health. This research thus contributes to the nascent literature on the impact of mHealth apps and the consumption pattern in Bangalore in the post-pandemic scenario. This research investigates from the perspective of usage, privacy, and affordability of the mHealth apps. Results suggest that usage is positively affected by the affordability and privacy of these apps. Firstly, app developers could use the findings for different digital health marketing strategies and implementations for the mHealth app. Secondly, academics can look at other aspects such as the knowledge people possess regarding apps and their proficiency in accepting technology. Finally, the policy discussion makers can work on concerns of affordability and privacy to cater to the more significant population segment. © 2023 by IGI Global. All rights reserved.","","","Book chapter","Final","","Scopus","2-s2.0-85162681392"
"Bhaskar N.; Ramana S.; Kumar G.M.","Bhaskar, N. (57215274775); Ramana, S. (57780995100); Kumar, G. Mahesh (58277734800)","57215274775; 57780995100; 58277734800","Internet of Things for Green Smart City Application Based on Biotechnology Techniques","2023","Proceedings of the International Conference on Artificial Intelligence and Knowledge Discovery in Concurrent Engineering, ICECONF 2023","","","","","","","0","10.1109/ICECONF57129.2023.10083965","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153043823&doi=10.1109%2fICECONF57129.2023.10083965&partnerID=40&md5=dfc59f08b246b62e827cc76ab731df16","Recent developments in hardware and software have led to a proliferation of Internet of Things (IoT) devices (such as smartgadgets, Intelligent Cameras, Self Driving cars, etc.), making IoT devices and their applications ubiquitous in today's information society. But because IoT lets different kinds of devices connect and talk to each other, it creates a huge amount of data that needs to be processed and stored. The Industrial Revolution was a watershed moment in human history, a catalyst for economic growth that altered global patterns and the way people lived. The era of the intelligence-driven information revolution has finally come. The future of fields like biotechnology and medicine is bright thanks to rapid technological development, widespread access to the internet, and The Era of Big Data Has Arrived. IoT enables the automation of R&D through the use of The use of cutting-edge smart sensors, smartphone-based instruments and devices, and seamless networking. Technologies such as Data storage and sharing in the cloud, analytics on large amounts of data, embedded sensors, smart wearable devices, eco-friendly computers, data mining, biomedical imaging, intelligent algorithms, healthcare informatics, and so on are all examples. are all utilised by IoT -based digital health. To facilitate the gathering, storage, transfer, and analysis of large data sets in real time, the IoT facilitates healthcare mobility solutions and systems in the cloud. Disease diagnostics, Treatment of Patients From a Distance, improving clinical procedures, creating a 'green smart city,' controlling inventories and livestock, and simplifying data administration are all hampered by the IoT, hastening the period of the digital revolution. © 2023 IEEE.","Bio Technology; Health care; Internet of Things; Smart city","Agriculture; Application programs; Big data; Bioinformatics; Biotechnology; Cloud analytics; Data mining; Diagnosis; Digital storage; Economics; mHealth; Patient treatment; Real time systems; Smart city; Smartphones; Economic growths; Global patterns; Hardware and software; Industrial revolutions; Information revolution; Information society; Intelligent cameras; Technological development; Watershed moment; ]+ catalyst; Internet of things","Conference paper","Final","","Scopus","2-s2.0-85153043823"
"Sharma A.K.; Shadakshari D.; Chand P.; Murthy P.","Sharma, Abhishek Kumar (58167622600); Shadakshari, Darshan (57219435993); Chand, Prabhat (8634421400); Murthy, Pratima (8634421300)","58167622600; 57219435993; 8634421400; 8634421300","Design, development and pilot testing of 'Quest', a smartphone-based relapse prevention app for patients with alcohol dependence","2023","Asian Journal of Psychiatry","83","","103572","","","","0","10.1016/j.ajp.2023.103572","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151484858&doi=10.1016%2fj.ajp.2023.103572&partnerID=40&md5=79a041aacbddb64497354c2be93e181e","Objective: To design, develop and pilot the 'Quest' app for smartphone-based relapse prevention for patients diagnosed with alcohol dependence syndrome (ADS). Methods: Principles of relapse prevention and motivation enhancement were used to develop the Quest App. Four addiction psychiatrists reviewed the app using the “app evaluation framework”. Thirty patients (> 18 yrs age) diagnosed with ADS, who had an Android smartphone, were fluent in writing and reading English and agreed to use the app regularly for the next three months were enrolled in this study. After initial treatment for intoxication/withdrawal and with written consent, patients in the study group (TAUQ) were requested to download the Quest application from a downloadable installation file. The usability and acceptability of Quest App amongst TAUQ patients was evaluated using the usability section of the mHealth App Usability Questionnaire (MAUQ). The short-term effectiveness at the end of three months was compared between TAUQ and comparison group who received Treatment as Usual (TAU). Results: Both acceptability (65 %) and usability (5.8 out of 7) of the app were high. The patient groups (with or without Quest app) showed a significant reduction in drinking at 30, 60, and 90 days follow-up compared with their baseline number of drinking days. There was no significant difference between the two groups (with or without Quest App) in the median number of lapses and the median number of days of heavy drinking. Conclusions: This is the first attempt to develop a smartphone app and test its feasibility in preventing relapse among patients with ADS in the Indian population. Further validation of the app after incorporating feedback and testing on a larger sample size and multiple languages is required. © 2023 Elsevier B.V.","Alcohol dependence syndrome; mHealth; mobile app","Alcoholism; Humans; Mobile Applications; Motivation; Secondary Prevention; Smartphone; alcoholism; human; motivation; secondary prevention","Article","Final","","Scopus","2-s2.0-85151484858"
"Garner S.L.; Wong C.L.; Young P.; Fendt M.; Hitchcock J.; George C.E.","Garner, Shelby L. (55808808600); Wong, Cho Lee (57141327900); Young, Phil (55205924100); Fendt, Matthew (36195338800); Hitchcock, Julia (57207450503); George, Carolin Elizabeth (56537730400)","55808808600; 57141327900; 55205924100; 36195338800; 57207450503; 56537730400","Mobile health to improve hypertension and diabetes health literacy among Asian Indian migrants to Hong Kong","2022","CIN - Computers Informatics Nursing","40","4","","269","277","8","2","10.1097/CIN.0000000000000807","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127860261&doi=10.1097%2fCIN.0000000000000807&partnerID=40&md5=1c2de3bde1701459e7d25e450b056f67","The use of mobile technologies to improve health outcomes or mobile health is rapidly evolving, and culturally relevant resources are needed to address health disparities among vulnerable populations. Noncommunicable disease health disparities among Asian Indian migrants to Hong Kong are prevalent. A mobile health application designed to improve hypertension and type 2 diabetes mellitus health literacy was tested using a mixed-methods design to determine its impact on improving health literacy among this subpopulation. Quantitative findings indicated the mobile health application was effective in improving health literacy. Qualitative findings revealed participant perceptions about the application explored its informative nature, usability and likability of application components, and its ability to initiate intentionality for a healthier lifestyle among users. This feedback was valuable to ensure future modifications that will promote the application's scalability and sustainability. Copyright © 2021 Wolters Kluwer Health, Inc. All rights reserved.","Asian Indian; Diabetes; Hong Kong; Hypertension; MHealth; Migrant; Mobile Health; Noncommunicable disease","Diabetes Mellitus, Type 2; Health Literacy; Hong Kong; Humans; Hypertension; Telemedicine; Transients and Migrants; health literacy; Hong Kong; human; hypertension; migration; non insulin dependent diabetes mellitus; telemedicine","Article","Final","","Scopus","2-s2.0-85127860261"
"Gupta G.; Jaiswal V.; Khari M.; Kumar N.","Gupta, Gaurav (57194214351); Jaiswal, Varun (55631491500); Khari, Manju (45060953400); Kumar, Nagesh (57209905951)","57194214351; 55631491500; 45060953400; 57209905951","Mobile health: Advances in research and applications - Volume II","2022","Mobile Health: Advances in Research and Applications - Volume II","","","","1","200","199","0","10.52305/LDXT8191","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141358084&doi=10.52305%2fLDXT8191&partnerID=40&md5=baa157e2e449651d0ece1bdaa18d2530","Smart health technologies continue to gain research interest across the globe in this digital era. Researchers are focusing on advancements in healthcare systems to make human life better. Also, such advancements help in early disease diagnosis and prevention of the worst diseases. Designing smart healthcare systems is possible only because of recent developments in artificial intelligence, machine learning and IoT technologies. Though mHealth refers to all mobile devices which can communicate data, mobile phones are presently the most popular platform for mHealth delivery. Ninety-four percent of the world population owns/uses a mobile phone, making mobile phones an optimal delivery platform for mHealth interventions. mHealth may catalyse the healthcare delivery model from a historical/episodic model into a tangible/patient-centric model. mHealth is being viewed progressively by many as an essential technology metaphor to achieve rich, vigorous patient engagement, ultimately achieving a patient-centric paradigm change. This book will discuss diverse topics to explain the rapidly emerging and evolving mobile health and artificial perspective, the emergence of integrated platforms and hosted third-party tools, and the development of decentralized applications for various research domains. It presents various applications that are helpful for research scholars and scientists who are working toward identifying and pinpointing the potential of as well as the hindrances to mHealth. The wide variety in topics it presents offers readers multiple perspectives on a variety of disciplines. The aim of this edited book is to publish the latest research advancements in the convergence of automation technology, artificial intelligence, biomedical engineering and health informatics. This will help readers to grasp the extensive point of view and the essence of recent advances in this field. This book solicits contributions which include theory, case studies and computing paradigms pertaining to healthcare applications. The prospective audience would be researchers, professionals, practitioners, and students from academia and industry who work in this field. We hope the chapters presented will inspire future research from both theoretical and practical viewpoints to spur further advances in the field. © 2022 by Nova Science Publishers, Inc.","","","Book","Final","","Scopus","2-s2.0-85141358084"
